Feature_gene_name,Feature_length,NoTreat_1,NoTreat_2,NoTreat_3,NoTreat_4,Treat_1,Treat_2,Treat_3,Treat_4
TSPAN6,4536,2590,2576,2052,2431,974,830,896,909
DPM1,9276,2761,2916,2394,2779,3227,2950,2800,2887
SCYL3,6883,342,383,236,362,458,419,358,439
C1orf112,5970,475,586,439,521,439,431,428,442
FGR,3382,14,12,9,7,10,8,15,12
CFH,7980,1382,1496,948,1341,907,816,730,708
FUCA2,2822,3669,3666,3193,3706,3428,3125,2717,2831
GCLC,8618,1113,1092,899,1079,1079,1028,944,967
NFYA,6209,2122,2074,1537,2170,1481,1315,1257,1326
STPG1,8511,347,368,352,334,306,232,258,253
NIPAL3,9396,1080,1006,744,1040,662,623,653,641
LAS1L,12555,2074,2162,1705,2103,1917,1533,1312,1489
ENPP4,4644,4,1,13,6,3,4,9,5
SEMA3F,4826,17500,17292,13679,16992,7514,6458,5975,6672
CFTR,9942,0,0,0,0,3,2,2,4
ANKIB1,7389,3760,4241,2526,3935,7076,6539,5887,6120
CYP51A1,3529,443,514,291,471,676,621,624,589
KRIT1,6204,377,431,278,374,443,391,325,341
RAD52,4503,579,580,512,615,583,459,383,458
BAD,1708,1197,1278,1146,1134,877,816,835,869
LAP3,3779,4671,4825,4080,4741,42636,39227,35376,36096
CD99,4858,1,0,1,0,0,2,0,0
HS3ST1,7435,1398,1310,1016,1291,391,381,339,344
AOC1,3786,1,5,0,4,0,0,0,0
WNT16,3264,1,3,0,0,0,1,0,0
HECW1,13935,0,0,0,0,3,2,0,0
MAD1L1,6955,8,7,2,11,4,2,10,0
LASP1,7061,19887,20644,15854,20065,20612,18637,17794,19083
SNX11,4133,1318,1228,1082,1319,1382,1282,1215,1243
TMEM176A,3477,0,0,0,2,0,0,0,0
M6PR,3585,2565,2667,1908,2475,3271,2968,2805,2823
KLHL13,6983,0,0,2,2,0,0,0,0
CYP26B1,4839,1182,1204,818,1137,99,92,87,52
ICA1,4883,1227,1224,1098,1321,1024,943,889,944
DBNDD1,4462,1794,1792,1431,1722,781,775,710,872
ALS2,33513,3045,3260,2091,3179,2399,2119,1956,2056
CASP10,7581,1885,1967,1418,1868,2588,2371,2363,2142
CFLAR,22479,9958,10563,7821,9982,24330,21072,19646,20121
TFPI,11714,13565,13727,10061,12536,9110,8867,8417,9303
NDUFAF7,3651,530,548,403,552,645,479,459,512
RBM5,10357,4045,4093,3181,3857,3764,2887,2675,3021
MTMR7,6928,49,68,49,36,81,63,72,62
SLC7A2,7905,706,697,437,666,4627,4609,4175,4332
ARF5,1825,4080,4298,3664,4016,2516,2369,2234,2551
SARM1,11105,355,424,268,406,382,342,237,304
POLDIP2,2670,4258,4373,3821,4263,2966,2785,2664,2903
PLXND1,9557,37915,42159,29446,37842,30528,28001,24527,27973
AK2,9625,7723,7993,6253,7647,5360,4942,4643,4942
CD38,6857,82,125,87,75,1353,1255,1040,903
FKBP4,5163,3647,3803,3307,3767,2348,2225,2000,2231
KDM1A,5440,6465,6788,5328,6540,3668,3533,3037,3505
RBM6,7299,4750,4510,3660,4508,5629,3883,3648,4117
CAMKK1,7433,625,700,517,642,221,167,142,150
RECQL,3779,3728,3875,2839,3859,4001,3794,3379,3721
VPS50,9559,1341,1459,1078,1445,1189,1171,999,1196
HSPB6,1724,5,4,2,3,3,4,3,0
ARHGAP33,5260,425,432,310,424,368,198,168,236
NDUFAB1,1548,2202,2130,1938,2021,1714,1727,1564,1609
PDK4,4544,801,808,576,784,15,25,19,9
SLC22A16,3907,0,2,3,0,17,16,12,12
ZMYND10,2889,5,21,7,9,3,6,0,0
